,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,class,nmf_pred
0,1,NCT00523276,SARS Survivor Evaluations,,Withdrawn,No Results Available,Coronavirus (SARS-CoV),,"Positive serology, SARS CoV",National Institute of Allergy and Infectious Diseases (NIAID),All,"4 Years and older   (Child, Adult, Older Adult)",,0.0,NIH,Observational,Observational Model: Family-Based|Time Perspective: Cross-Sectional,06-0048,,June 2011,June 2011,"August 31, 2007",,"April 29, 2013","Beijing Ditan Hospital, Beijing, Beijing, China|Beijing You'An Hospital, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT00523276,0,0
1,2,NCT00533741,SARS Coronavirus Vaccine (SARS-CoV),,Withdrawn,No Results Available,Coronavirus (SARS-CoV),Drug: Aluminum hydroxide|Drug: Placebo|Biological: SARS-CoV,"Frequency and description of serious adverse events (SAEs).|Frequency of significant increases in serum antibody to CoV S protein in Enzyme Linked Immunosorbent Assay (ELISA) and in neutralization tests, and increases in Geometric Mean Titers (GMT)s in sera.|Frequency and severity of solicited injection site and systemic signs and symptoms and unsolicited adverse events (AE) / SAEs.|Frequency of significant serum antibody increases and increases in Geometric Mean Titers (GMT)s, as measured in neutralizing antibody tests and an ELISA against SARS-CoV S protein.",National Institute of Allergy and Infectious Diseases (NIAID),All,18 Years to 40 Years   (Adult),Phase 1,0.0,NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",07-0021,,January 2012,January 2012,"September 21, 2007",,"December 3, 2012","Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00533741,0,0
2,3,NCT01376765,"Phase I Dose Escalation SARS-CoV Recombinant S Protein, With and Without Adjuvant, Vaccine Study",,Withdrawn,No Results Available,SARS,Drug: Aluminum hydroxide adjuvant (Alhydrogel®)|Other: Phosphate buffered saline Placebo|Biological: Recombinant S protein SARS vaccine,"Occurrence of solicited local and systemic adverse events (AE)within 8 days after vaccination (Days 0-7 and Days 28-35)|Incidence of vaccine-related serious adverse events (SAEs) throughout the duration of the study.|Occurrence of laboratory abnormalities at 8 days after vaccination (Days 8 and 36)|Immunogenicity: Proportion of subjects achieving a detectable serum neutralizing antibody titer against SARS-CoV in each immunized group 28 days after receipt of the second dose of vaccine (approximately Day 56)|Immunogenicity: GMT of neutralizing antibody titers against SARS-CoV in each immunized group 28 days after receipt of the second dose of vaccine (Day 56). Measurement will include the Day 56 GMT and the mean fold change (GMT ratio Day 56:Day 0)|Comparison of rates of unsolicited AEs related to vaccine for all subjects between treatment groups and in the combined cohorts receiving vaccine with aluminum hydroxide adjuvant compared with those receiving vaccine with no adjuvant.|Immunogenicity: Geometric Mean Titer (GMT) of antibody titers (IgG ELISA for S protein of SARS-CoV) 28 days after receipt of the second dose of vaccine (Day 56) at each vaccine dose level, with and without adjuvant",National Institute of Allergy and Infectious Diseases (NIAID),All,18 Years to 40 Years   (Adult),Phase 1,0.0,NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",09-0100,,,,"June 20, 2011",,"February 15, 2013","University of Iowa - Infectious Disease Clinic, Iowa City, Iowa, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|Cincinnati Children's Hospital Medical Center - Infectious Diseases, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT01376765,0,0
3,4,NCT00066209,Investigating Severe Acute Respiratory Syndrome (SARS),,Completed,No Results Available,SARS Virus,,,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"Child, Adult, Older Adult",,400.0,NIH,Observational,,030240|03-I-0240,"August 4, 2003",,"May 24, 2007","August 6, 2003",,"July 2, 2017","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00066209,0,0
4,5,NCT00342524,Collection of Convalescent SARS Plasma by Apheresis,,Completed,No Results Available,Severe Acute Respiratory Syndrome|SARS,,,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,,NIH,Observational,,999905192|05-I-N192,"July 6, 2005",,"February 8, 2007","June 21, 2006",,"July 2, 2017","The Chinese University of Hong Kong, Hong Kong, China",,https://ClinicalTrials.gov/show/NCT00342524,0,0
5,6,NCT03463031,Efficacy and Safety of GSP 301 Nasal Spray in Children (Aged 6 to Under 12 Years) With Seasonal Allergic Rhinitis (SAR),GSP 301-305,Completed,Has Results,Seasonal Allergic Rhinitis (SAR),Drug: GSP 301 NS|Drug: GSP 301 Placebo NS,Change From Baseline in Average AM and PM Subject-reported 12-hour Reflective Total Nasal Symptom Score ( rTNSS) Over the 14-day Treatment Period|Change From Baseline in Average AM and PM Subject-reported 12-hour Instantaneous Total Nasal Symptom Score (iTNSS) Over the 14-day Treatment Period.|Change From Baseline in the Overall Pediatric Rhinoconjunctivitis Quality of Life Questionnaire (PRQLQ) Score on Day 15 (Visit 4)|Change From Baseline in Average AM and PM Subject-reported 12-hour Reflective Total Ocular Symptom Score (rTOSS) Over the 14-day Treatment Period.,Glenmark Specialty S.A.,All,6 Years to 11 Years   (Child),Phase 3,446.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",GSP 301-305,"March 16, 2018","November 14, 2018","November 14, 2018","March 13, 2018","October 8, 2019","October 8, 2019","Glenmark Investigational Site 18, Mission Viejo, California, United States|Glenmark Investigational Site 32, Ontario, California, United States|Glenmark Investigational Site 30, Paramount, California, United States|Glenmark Investigational Site 17, San Diego, California, United States|Glenmark Investigational Site 21, Colorado Springs, Colorado, United States|Glenmark Investigational Site 13, Marietta, Georgia, United States|Glenmark Investigational Site 26, Savannah, Georgia, United States|Glenmark Investigational Site 28, Louisville, Kentucky, United States|Glenmark Investigational Site 14, Baltimore, Maryland, United States|Glenmark Investigational Site 19, Bethesda, Maryland, United States|Glenmark Investigational Site 25, Ypsilanti, Michigan, United States|Glenmark Investigational Site 12, Columbia, Missouri, United States|Glenmark Investigational Site 10, Rolla, Missouri, United States|Glenmark Investigational Site 27, Warrensburg, Missouri, United States|Glenmark Investigational Site 15, Omaha, Nebraska, United States|Glenmark Investigational Site 3, High Point, North Carolina, United States|Glenmark Investigational Site 8, Raleigh, North Carolina, United States|Glenmark Investigational Site 11, Cincinnati, Ohio, United States|Glenmark Investigational Site 29, Cincinnati, Ohio, United States|Glenmark Investigational Site 2, Edmond, Oklahoma, United States|Glenmark Investigational Site 33, Tulsa, Oklahoma, United States|Glenmark Investigational Site 4, Medford, Oregon, United States|Glenmark Investigational Site 6, Spartanburg, South Carolina, United States|Glenmark Investigational Site 5, Austin, Texas, United States|Glenmark Investigational Site 24, Kerrville, Texas, United States|Glenmark Investigational Site 1, New Braunfels, Texas, United States|Glenmark Investigational Site 7, San Antonio, Texas, United States|Glenmark Investigational Site 9, San Antonio, Texas, United States|Glenmark Investigational Site 20, Waco, Texas, United States|Glenmark Investigational Site 31, Waco, Texas, United States|Glenmark Investigational Site 22, Draper, Utah, United States|Glenmark Investigational Site 23, Greenfield, Wisconsin, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT03463031/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT03463031/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03463031,0,0
6,7,NCT03443102,Long-term Assessment of Organ Functions Among Survivors of Severe Acute Respiratory Syndrome,,Recruiting,No Results Available,SARS Virus|Long-Term Survivors,,All-cause disability|Cardiopulmonary function|Life Life quaities mental distress,Peking University People's Hospital,All,"Child, Adult, Older Adult",,150.0,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,2018PHB010-01,"January 25, 2018","July 1, 2018","December 1, 2018","February 22, 2018",,"February 26, 2018","Peking University People's Hospital, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT03443102,0,0
7,8,NCT02870205,Efficacy and Safety of GSP 301 Nasal Spray in the Treatment of Seasonal Allergic Rhinitis (SAR),GSP 301-304,Completed,Has Results,Seasonal Allergic Rhinitis (SAR),Drug: GSP 301 NS|Drug: GOM-NS|Drug: GMM-2 NS|Drug: GSP 301 placebo NS,Change From Baseline in Average AM and PM Subject-reported 12-hour Reflective Total Nasal Symptom Score (rTNSS),Glenmark Specialty S.A.,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,1176.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",GPL/CT/2015/004/III|Study Number: GSP 301-304,August 2016,January 2017,January 2017,"August 17, 2016","April 6, 2018","April 6, 2018","Investigational Site 406, Mission Viejo, California, United States|Investigational Site 414, Orange, California, United States|Investigational Site 435, San Diego, California, United States|Investigational Site 420, Centennial, Colorado, United States|Investigational Site 444, Colorado Springs, Colorado, United States|Investigational Site 428, Aventura, Florida, United States|Investigational Site 412, Miami, Florida, United States|Investigational Site 436, Bethesda, Maryland, United States|Investigational Site 432, South Dartmouth, Massachusetts, United States|Investigational Site 426, Minneapolis, Minnesota, United States|Investigational Site 403, Plymouth, Minnesota, United States|Investigational Site 443, Columbia, Missouri, United States|Investigational Site 441, Rolla, Missouri, United States|Investigational Site 440, Saint Louis, Missouri, United States|Investigational Site 405, Bellevue, Nebraska, United States|Investigational Site 434, Skillman, New Jersey, United States|Investigational Site 408, Rochester, New York, United States|Investigational Site 418, Rockville Centre, New York, United States|Investigational Site 402, High Point, North Carolina, United States|Investigational Site 427, Raleigh, North Carolina, United States|Investigational Site 419, Cincinnati, Ohio, United States|United States 404, Cincinnati, Ohio, United States|United States 407, Edmond, Oklahoma, United States|Investigational Site 410, Oklahoma City, Oklahoma, United States|Investigational Site 424, Tulsa, Oklahoma, United States|Investigational Site 411, Pittsburgh, Pennsylvania, United States|Investigational Site 416, Spartanburg, South Carolina, United States|Investigational Site 415, Austin, Texas, United States|Investigational Site 442, Austin, Texas, United States|Investigational Site 417, Boerne, Texas, United States|Investigational Site 421, Dallas, Texas, United States|Investigational Site 430, Dallas, Texas, United States|Investigational Site 431, El Paso, Texas, United States|Investigational Site 433, Kerrville, Texas, United States|Investigational Site 422, New Braunfels, Texas, United States|Investigational Site 401, San Antonio, Texas, United States|Investigational Site 413, San Antonio, Texas, United States|Investigational Site 425, San Antonio, Texas, United States|Investigational Site 437, San Antonio, Texas, United States|Investigational Site 400, Waco, Texas, United States|Investigational Site 409, Waco, Texas, United States|Investigational Site 423, Draper, Utah, United States|Investigational Site 439, Greenfield, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT02870205,0,0
8,9,NCT00073086,Evaluation and Treatment of Severe Acute Respiratory Syndrome (SARS),,Withdrawn,No Results Available,Severe Acute Respiratory Syndrome,,,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,0.0,NIH,Observational,,040030|04-I-0030,"November 5, 2003",,"December 27, 2010","November 17, 2003",,"July 2, 2017","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00073086,0,0
9,10,NCT00578825,"A Multi-centre, Double-blinded, Randomized, Placebo-controlled Trial on the Efficacy and Safety of Lopinavir / Ritonavir Plus Ribavirin in the Treatment of Severe Acute Respiratory Syndrome",,Unknown status,No Results Available,Severe Acute Respiratory Syndrome,Drug: Lopinavir / Ritonavir plus Ribavirin,Development of severe SARS|Adverse events|SARS-CoV Viral load|Immunological profile,"Hospital Authority, Hong Kong",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,340.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,KW/FR/04-009|HARECCTR0500028|NTWC/CREC/349/05,,,,"December 21, 2007",,"August 22, 2013","Department of Health, Hong Kong, China|Kowloon Hospital, Hong Kong, China|Prince of Wales Hospital, Hong Kong, China|Princess Margaret Hospital, Hong Kong, China|Queen Mary Hospital, Hong Kong, China|The Chinese University of Hong Kong, Hong Kong, China|The University of Hong Kong, Hong Kong, China|Tuen Mun Hospital, Hong Kong, China|United Christian Hospital, Hong Kong, China",,https://ClinicalTrials.gov/show/NCT00578825,0,0
